电影详情链接,图片链接,影片中文名,影片外国名,评分,评价数,概况,相关信息
https://movie.douban.com/subject/1295038/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg,哈利·波特与魔法石,  Harry Potter and the Sorcerer's Stone,9.2,1236460,童话世界的开端,导演: Chris Columbus   主演: Daniel Radcliffe  Emma Watson  Rupert Grint2001  美国 英国  奇幻 冒险
https://movie.douban.com/subject/1851857/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,蝙蝠侠：黑暗骑士,  The Dark Knight,9.2,1092190,无尽的黑暗,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...2008  美国 英国  剧情 动作 科幻 犯罪 惊悚
https://movie.douban.com/subject/1291552/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg,指环王3：王者无敌,  The Lord of the Rings: The Return of the King,9.3,827081,史诗的终章,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood  西恩...2003  美国 新西兰  剧情 动作 奇幻 冒险
https://movie.douban.com/subject/26752088/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,我不是药神, ,9.0,2159396,对我们国家而言，这样的电影多一部是一部,导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu  王传君 Chuanjun Wang  周...2018  中国大陆  剧情 喜剧
https://movie.douban.com/subject/1300267/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,乱世佳人,  Gone with the Wind,9.3,711628,Tomorrow is another day.,导演: 维克多·弗莱明 Victor Fleming  乔治·库克 George Cukor   主演: 费...1939  美国  剧情 历史 爱情 战争
https://movie.douban.com/subject/2129039/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2363116942.jpg,飞屋环游记,  Up,9.1,1364560,最后那些最无聊的事情，才是最值得怀念的 ,导演: 彼特·道格特 Pete Docter  鲍勃·彼德森 Bob Peterson   主演: 爱德...2009  美国  剧情 喜剧 动画 冒险
https://movie.douban.com/subject/21937452/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,素媛,  소원,9.3,707206,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol  严志媛 Ji-won Uhm ...2013  韩国  剧情
https://movie.douban.com/subject/1293182/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,十二怒汉,  12 Angry Men,9.4,509451,1957年的理想主义 ,导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda  马丁·鲍尔萨姆 Marti...1957  美国  剧情
https://movie.douban.com/subject/1308807/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,哈尔的移动城堡,  ハウルの動く城,9.1,1058569,带着心爱的人在天空飞翔,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô  木村拓...2004  日本  动画 奇幻 冒险
https://movie.douban.com/subject/3742360/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,让子弹飞, ,9.0,1747108,你给我翻译翻译，神马叫做TMD的惊喜,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang  葛优 You Ge  周润发 Yun-F...2010  中国大陆 中国香港  剧情 喜剧 动作 西部
